Time,Room_Temp,silica_effect ,cmoa_design,current_leakage,Voltage_leakage,Cut_off_freq,avoid_dust_partical,avoid_uv_light,wafer_process,Pass/Fail
7/19/2008 11:55,3030.93,2564,2187.7333,1411.1265,1.3602,100,97.6133,0.1242,1.5005,-1
7/19/2008 12:32,3095.78,2465.14,2230.4222,1463.6606,0.8294,100,102.3433,0.1247,1.4966,-1
7/19/2008 13:17,2932.61,2559.94,2186.4111,1698.0172,1.5102,100,95.4878,0.1241,1.4436,1
7/19/2008 14:43,2988.72,2479.9,2199.0333,909.7926,1.3204,100,104.2367,0.1217,1.4882,-1
7/19/2008 15:22,3032.24,2502.87,2233.3667,1326.52,1.5334,100,100.3967,0.1235,1.5031,-1
7/19/2008 17:53,2946.25,2432.84,2233.3667,1326.52,1.5334,100,100.3967,0.1235,1.5287,-1
7/19/2008 19:44,3030.27,2430.12,2230.4222,1463.6606,0.8294,100,102.3433,0.1247,1.5816,-1
7/19/2008 19:45,3058.88,2690.15,2248.9,1004.4692,0.7884,100,106.24,0.1185,1.5153,-1
7/19/2008 20:24,2967.68,2600.47,2248.9,1004.4692,0.7884,100,106.24,0.1185,1.5358,-1
7/19/2008 21:35,3016.11,2428.37,2248.9,1004.4692,0.7884,100,106.24,0.1185,1.5381,-1
7/19/2008 21:57,2994.05,2548.21,2195.1222,1046.1468,1.3204,100,103.34,0.1223,1.5144,1
7/19/2008 22:52,2928.84,2479.4,2196.2111,1605.7578,0.9959,100,97.9156,0.1257,1.469,1
7/20/2008 3:35,2920.07,2507.4,2195.1222,1046.1468,1.3204,100,103.34,0.1223,1.531,-1
7/21/2008 8:21,3051.44,2529.27,2184.4333,877.6266,1.4668,100,107.8711,0.124,1.5236,-1
7/21/2008 11:53,2963.97,2629.48,2224.6222,947.7739,1.2924,100,104.8489,0.1197,1.4474,1
7/22/2008 0:03,2988.31,2546.26,2224.6222,947.7739,1.2924,100,104.8489,0.1197,1.5465,-1
7/22/2008 2:59,3028.02,2560.87,2270.2556,1258.4558,1.395,100,104.8078,0.1207,1.4368,-1
7/22/2008 8:41,3032.73,2517.79,2270.2556,1258.4558,1.395,100,104.8078,0.1207,1.5537,-1
7/22/2008 11:47,3040.34,2501.16,2207.3889,962.5317,1.2043,100,104.0311,0.121,1.5481,-1
7/22/2008 14:00,2988.3,2519.05,2208.8556,1157.7224,1.5509,100,107.8022,0.1233,1.5362,-1
7/22/2008 15:30,2987.32,2528.81,,,,,,0.1195,1.6343,-1
7/23/2008 5:15,,2481.85,2207.3889,962.5317,1.2043,100,104.0311,0.121,1.5559,-1
